"Rank","Name","Team","Cl","Pos","G","RBI"
"1","Michael Katz","William & Mary","Jr.","INF","22","47"
"2","Emmanuel Marrero","Alabama St.","Jr.","INF","29","35"
"3","Connor McKay","Kansas","Jr.","OF","24","34"
"4","Will Allen","Ole Miss","Sr.","INF","25","32"
"","A.J. Reed","Kentucky","Jr.","P","24","32"
"6","Jeff Gardner","Louisville","Sr.","OF","22","31"
"7","Michael Conforto","Oregon St.","Jr.","OF","24","30"
"","Skyler Ewing","Rice","Jr.","INF","25","30"
"","Chase Harris","New Mexico","Sr.","OF","25","30"
"","Nic Wilson","Georgia St.","Sr.","INF","24","30"
"11","Stryker Brown","Ga. Southern","Sr.","INF","25","29"
"","Bill Cullen","VCU","Sr.","OF","23","29"
"","Adam Martin","Western Caro.","Sr.","C","21","29"
"","Brandon Thomasson","Tennessee Tech","Sr.","OF","23","29"
"15","Drew Adams","Lipscomb","Sr.","OF","25","28"
"","Aaron Mizell","Ga. Southern","Jr.","OF","23","28"
"","Micheal Thomas","Kentucky","Sr.","C","22","28"
"18","Sasha LaGarde","Mercer","Sr.","OF","25","27"
"","Chris Marconcini","Duke","Jr.","INF","25","27"
"","Ryan McBroom","West Virginia","Sr.","1B","20","27"
"21","Jace Conrad","La.-Lafayette","Jr.","2B","24","26"
"","Tyler France","San Diego St.","So.","INF","23","26"
"","Casey Gillaspie","Wichita St.","Jr.","INF","22","26"
"","Tyler Kuresa","UC Santa Barbara","Jr.","INF","20","26"
"","Kevin Newman","Arizona","So.","INF","26","26"
"","Matt Tenaglia","James Madison","Sr.","1B","21","26"
"27","Matt Burgess","Arkansas St.","So.","INF","22","25"
"","Dalton Busby","Ga. Southern","Jr.","INF","24","25"
"","Branden Castro","Alabama St.","So.","INF","29","25"
"","Waldyvan Estrada","Alabama St.","Jr.","OF","28","25"
"","Derek Gibson","Southeast Mo. St.","Sr.","INF","23","25"
"","Brendon Hayden","Virginia Tech","Jr.","INF","22","25"
"","Connor Joe","San Diego","Jr.","INF","23","25"
"","Grant Kay","Louisville","Jr.","INF","23","25"
"","Julio Nunez","Alabama A&M","Sr.","3B","25","25"
"","Chris Okey","Clemson","Fr.","C","23","25"
"","Francisco Tellez","UC Riverside","So.","1B","20","25"
"","Andrew Utterback","Alabama A&M","Jr.","OF","25","25"
"","Mike Warren","UTSA","Sr.","1B","24","25"
"40","Erik Barber","UCF","Jr.","OF","24","24"
"","Dylan Bosheers","Tennessee Tech","Jr.","SS","24","24"
"","Tommy Cheek","Loyola Marymount","Sr.","INF","24","24"
"","Dylan Davis","Oregon St.","Jr.","OF","24","24"
"","Garrett Deschamp","Tulane","Jr.","INF","23","24"
"","Aramis Garcia","FIU","Jr.","C","24","24"
"","Sean Godfrey","Ball St.","Sr.","OF","24","24"
"","Chase Griffin","Ga. Southern","Jr.","C","25","24"
"","Hunter Haley","Oklahoma","So.","INF","22","24"
"","Jacob Hoyle","Western Caro.","Jr.","P","22","24"
"","Adam Kirsch","Texas Tech","Sr.","OF","25","24"
"","Louie Lechich","San Diego","Sr.","P","23","24"
"","Daniel Miles","Tennessee Tech","Sr.","3B","24","24"
"","John Nogowski","Florida St.","Jr.","1B","23","24"
"","Boo Vazquez","Pittsburgh","Jr.","OF","22","24"
"55","Jesse Baker","UTSA","So.","INF","24","23"
"","Daniel Dwyer","Illinois St.","So.","OF","21","23"
"","Trent Gilbert","Arizona","Jr.","INF","26","23"
"","Jordan Hopkins","Tennessee Tech","Jr.","C","21","23"
"","Tyler Huntey","Central Mich.","Jr.","INF","23","23"
"","Cody Leichman","Central Mich.","Jr.","1B","22","23"
"","Jimmy Luppens","Canisius","Sr.","1B","21","23"
"","Chase Raffield","Georgia St.","Sr.","OF","24","23"
"","Wes Rea","Mississippi St.","Jr.","1B","26","23"
"","Edwin Rios","FIU","So.","INF","24","23"
"","Brett Sullivan","Pacific","So.","SS","26","23"
"","Nick Torres","Cal Poly","Jr.","OF","23","23"
"","Carter Williamson","N.C. Central","Sr.","C","23","23"
"","Zach Zarzour","Tennessee Tech","Sr.","2B","24","23"
"69","Josh Anderson","FIU","Sr.","INF","24","22"
"","Aaron Brown","Pepperdine","Jr.","OF","23","22"
"","Josiah Burney","Old Dominion","Sr.","INF","22","22"
"","Alex Close","Liberty","Jr.","C","24","22"
"","Clinton Freeman","East Tenn. St.","Sr.","INF","23","22"
"","Jackson Gooch","McNeese St.","Sr.","OF","22","22"
"","Grayson Greiner","South Carolina","Jr.","C","22","22"
"","Mac James","Oklahoma","Jr.","C","24","22"
"","Sean Keselica","Virginia Tech","Jr.","P","22","22"
"","Ryan O'Hearn","Sam Houston St.","Jr.","INF","24","22"
"","Mike Papi","Virginia","Jr.","OF","22","22"
"","Cesar Rivera","Alabama St.","Jr.","OF","27","22"
"","Mason Robbins","Southern Miss.","Jr.","OF","24","22"
"","Ryan Seiz","Liberty","Jr.","INF","25","22"
"","Austin Sistrunk","Lipscomb","So.","INF","21","22"
"","DJ Stewart","Florida St.","So.","OF","23","22"
"","Matt Tellor","Southeast Mo. St.","Sr.","1B","23","22"
"","Luke Tendler","N.C. A&T","Sr.","OF","23","22"
"","Mitchell Tolman","Oregon","So.","INF","22","22"
"","Nick Vilter","UC Riverside","Jr.","3B","20","22"
"","Taylor Ward","Fresno St.","So.","C","24","22"
"","Carl Wise","Col. of Charleston","So.","INF","23","22"
"91","Colt Atwood","Sam Houston St.","Jr.","OF","24","21"
"","Anthony Azar","Sam Houston St.","Sr.","C","22","21"
"","Kelton Caldwell","BYU","Sr.","OF","25","21"
"","Corey Dick","UNC Wilmington","Jr.","INF","22","21"
"","Ben Fisher","Eastern Ky.","Fr.","INF","24","21"
"","Sean Hagen","Eastern Ky.","Sr.","C","23","21"
"","Mackenzie Handel","Stephen F. Austin","Sr.","OF","22","21"
"","Dominiq Harris","Prairie View","Sr.","INF","18","21"
"","Hunter Higgerson","Radford","Jr.","INF","23","21"
"","Casey Jones","Elon","Jr.","INF","23","21"
"","Zach Krider","USC Upstate","Fr.","INF","25","21"
"","Alex Liquori","Kennesaw St.","So.","OF","25","21"
"","Vimael Machin","VCU","Jr.","INF","23","21"
"","Jake Mangler","Iowa","Jr.","INF","20","21"
"","Garrett Mattlage","Texas St.","Jr.","INF","23","21"
"","Charlie Morgan","Wake Forest","Sr.","C","24","21"
"","Rj Perucki","UTSA","Sr.","INF","24","21"
"","Brandon Rawe","Morehead St.","Jr.","OF","23","21"
"","Alex Real","New Mexico","Jr.","C","25","21"
"","Bryan Reynolds","Vanderbilt","Fr.","OF","25","21"
"","Nick Senzel","Tennessee","Fr.","INF","22","21"
"","Matt Shortall","Texas-Arlington","Sr.","OF","23","21"
"","Austen Smith","Alabama","Sr.","INF","22","21"
"","Zach Stephens","Tennessee Tech","Sr.","1B","24","21"
"","Chris Townsend","Central Ark.","So.","INF","22","21"
"","Taylor Zeutenhorst","Iowa","Sr.","OF","20","21"
"117","Sal Annunziata","Seton Hall","Jr.","INF","19","20"
"","Nathan Becker","Davidson","Jr.","OF","17","20"
"","Garrett Boulware","Clemson","Jr.","C","23","20"
"","Forrest Brandt","Davidson","Sr.","OF","20","20"
"","Jose Brizuela","Florida St.","Jr.","INF","23","20"
"","Matt Gonzalez","Georgia Tech","So.","INF","24","20"
"","Matt Harris","St. John's (NY)","Jr.","1B","22","20"
"","Kristoffer Koerper","New Mexico St.","Sr.","INF","23","20"
"","Tanner Krietemeier","Oklahoma St.","Sr.","1B","23","20"
"","Max Kuhn","Kentucky","Jr.","INF","24","20"
"","Connor Lloyd","McNeese St.","Jr.","INF","19","20"
"","Jordan McDonald","UNC Greensboro","Jr.","INF","21","20"
"","Chris McGowan","Kennesaw St.","Sr.","OF","26","20"
"","Brian Mundell","Cal Poly","So.","C","23","20"
"","Max Murphy","Bradley","Jr.","OF","19","20"
"","Scott Price","Tennessee","Sr.","1B","23","20"
"","Chris Robinson","Morehead St.","Jr.","C","23","20"
"","Tyson Simpson Jr.","N.C. Central","Sr.","INF","23","20"
"","Demetre Taylor","Eastern Ill.","Jr.","OF","21","20"
"","Bo Thompson","Citadel","Jr.","INF","24","20"
"","Alex Tomasovich","Charleston So.","Sr.","INF","25","20"
"","Mike Vigliarolo","Saint Louis","Jr.","INF","22","20"
"","T.J. White","UNLV","Jr.","INF","22","20"
"","Mark Zagunis","Virginia Tech","Jr.","C","22","20"
"141","Jonathan Allison","Lipscomb","Jr.","OF","24","19"
"","Taylor Alspaugh","Oklahoma","Jr.","OF","24","19"
"","Tyson Ashcraft","Lipscomb","Jr.","INF","25","19"
"","Austin Baker","Arkansas St.","So.","OF","23","19"
"","Connor Bright","South Carolina","Jr.","INF","22","19"
"","Dalton Britt","Liberty","So.","INF","25","19"
"","Matt Conway","Wake Forest","Sr.","INF","24","19"
"","Chase Daughdrill","Northwestern St.","Jr.","INF","22","19"
"","Tanner DeVinny","Kansas St.","Fr.","C","17","19"
"","Dalton DiNatale","Arizona St.","So.","INF","21","19"
"","Tyler Filliben","Samford","Jr.","INF","22","19"
"","Mike Gerber","Creighton","Sr.","OF","18","19"
"","Griff Gordon","Jacksonville St.","Sr.","OF","23","19"
"","Danny Grauer","Liberty","Sr.","P","22","19"
"","Chase Green","SIU Edwardsville","Jr.","INF","20","19"
"","Greg Harrison","Furman","Sr.","1B","24","19"
"","Seth Harrison","La.-Lafayette","Sr.","OF","24","19"
"","Mott Hyde","Georgia Tech","Sr.","INF","23","19"
"","Connor Jones","Villanova","Sr.","OF","21","19"
"","Pat Kelly","Nebraska","Jr.","INF","22","19"
"","Ryan Kennedy","Florida A&M","Jr.","INF","21","19"
"","Hunter King","UNC Greensboro","Jr.","INF","23","19"
"","Troy Kuhn","Ohio St.","So.","INF","22","19"
"","Tyler Leffler","Bradley","So.","INF","19","19"
"","Ryan Lindemuth","William & Mary","---","2B","22","19"
"","Zach Lucas","Louisville","Jr.","INF","23","19"
"","Jordan Luplow","Fresno St.","Jr.","OF","24","19"
"","Patrick Marshall","Radford","Jr.","OF","19","19"
"","Mark Mathias","Cal Poly","So.","INF","23","19"
"","Greg McCall","Texas-Arlington","Sr.","C","22","19"
"","Ty McFarland","James Madison","Sr.","INF","22","19"
"","Mitch Meyer","Kansas St.","Jr.","OF","19","19"
"","Brandon Murray","Col. of Charleston","Sr.","OF","23","19"
"","Matt Nadolski","Campbell","Sr.","OF","25","19"
"","Dexter Price","Alabama St.","Sr.","INF","29","19"
"","Buddy Putnam","South Fla.","Jr.","INF","21","19"
"","Heath Quinn","Samford","Fr.","OF","23","19"
"","John Clay Reeves","Rice","Jr.","C","24","19"
"","Zach Remillard","Coastal Caro.","So.","INF","23","19"
"","Tanner Rockwell","UALR","Jr.","P","21","19"
"","Jake Rowland","Tennessee Tech","So.","OF","24","19"
"","Ben Slaton","Old Dominion","Sr.","OF","24","19"
"","Ridge Smith","Austin Peay","Fr.","C","22","19"
"","Bryce Taylor","Jackson St.","Sr.","OF","25","19"
"","Damek Tomscha","Auburn","Sr.","INF","24","19"
"","Ian Townsend","East Carolina","Jr.","OF","22","19"
"","Tucker Tubbs","Memphis","Jr.","INF","23","19"
"","Tommy Williams","UCF","Jr.","INF","25","19"
"","Bradley Zimmer","San Francisco","Jr.","OF","21","19"
"190","Aaron Attaway","Western Caro.","Sr.","INF","22","18"
"","Auston Bousfield","Ole Miss","Jr.","OF","25","18"
"","Connor Brown","James Madison","Sr.","INF","17","18"
"","Matt Dacey","Richmond","So.","INF","18","18"
"","Kyle Danford","A&M-Corpus Christi","Jr.","OF","26","18"
"","Andrew Daniel","San Diego","Jr.","INF","22","18"
"","Austin Darby","Nebraska","Jr.","OF","21","18"
"","Ben Fultz","East Carolina","Sr.","OF","23","18"
"","Skyler Geissinger","SIU Edwardsville","So.","INF","21","18"
"","Tyler Griffin","Citadel","Sr.","OF","24","18"
"","Taylor Gushue","Florida","Jr.","C","24","18"
"","Ian Happ","Cincinnati","So.","INF","22","18"
"","Anthony Hermelyn","Oklahoma","So.","INF","25","18"
"","Brett Hoffman","Southeastern La.","Jr.","INF","23","18"
"","Wesley Hoover","Central Ark.","Jr.","OF","20","18"
"","Alex Howe","Tex.-Pan American","Sr.","OF","26","18"
"","Brett Knief","Florida St.","Sr.","OF","23","18"
"","Cole Lankford","Texas A&M","Jr.","C","24","18"
"","Lee Longo","Eastern Mich.","Sr.","INF","19","18"
"","Chayse Marion","McNeese St.","Sr.","INF","22","18"
"","Patrick Mescher","Army","Sr.","INF","20","18"
"","Ben Morgan","Ga. Southern","Sr.","INF","25","18"
"","Ryan Nagle","Illinois","So.","INF","21","18"
"","Brian O'Keefe","Saint Joseph's","Jr.","C","17","18"
"","Alex Owens","Longwood","Sr.","1B","25","18"
"","Greg Partyka","Bradley","Sr.","1B","18","18"
"","Ino Patron","Long Beach St.","Sr.","INF","22","18"
"","Max Pentecost","Kennesaw St.","Jr.","C","27","18"
"","Bennie Robinson","Florida A&M","Sr.","INF","21","18"
"","Mike Rosenfeld","Duke","Jr.","C","25","18"
"","Erik Samples","USC Upstate","Jr.","INF","25","18"
"","John Sansone","Florida St.","So.","INF","23","18"
"","Zach Schira","Dayton","Jr.","OF","20","18"
"","Tyler Spoon","Arkansas","So.","OF","21","18"
"","Bradley Strong","Western Caro.","Jr.","INF","22","18"
"","Michael Suchy","FGCU","Jr.","OF","24","18"
"","Brett Sunde","Western Mich.","So.","C","20","18"
"","Mark Tatera","Minnesota","Jr.","INF","20","18"
"","Nelson Ward","Georgia","Jr.","INF","25","18"
"","Kyri Washington","Longwood","So.","OF","25","18"
"","John Ziznewski","LIU Brooklyn","Sr.","SS","18","18"
"231","K.J. Alexander","Dallas Baptist","Sr.","C","21","17"
"","Jimmy Allen","Cal Poly","Sr.","INF","23","17"
"","Robert Amaro","Temple","Sr.","1B","17","17"
"","Brad Anderson","Pepperdine","So.","1B","23","17"
"","Michael Aquino","Rice","Sr.","OF","25","17"
"","Patrick Armstrong","UNLV","Sr.","INF","22","17"
"","Nick Backlund","Mercer","Sr.","1B","25","17"
"","Austin Bailey","San Diego","Jr.","INF","23","17"
"","Tyler Baumgartner","Oregon","Sr.","OF","22","17"
"","Caleb Bryson","Samford","Sr.","C","23","17"
"","Austin Byler","Nevada","Jr.","INF","23","17"
"","Matt Chapman","Cal St. Fullerton","Jr.","INF","21","17"
"","Gabe Clark","Oregon St.","So.","INF","18","17"
"","Tommy Cunningham","Saint Joseph's","Sr.","INF","17","17"
"","Justin Dattilo","UMES","Fr.","C","17","17"
"","Ben DeLuzio","Florida St.","Fr.","INF","21","17"
"","Brandon Delk","Longwood","Jr.","OF","25","17"
"","Tyler Detmer","Ill.-Chicago","Jr.","OF","18","17"
"","Korey Dunbar","North Carolina","So.","C","17","17"
"","Tyler Duplantis","Nicholls St.","Sr.","INF","25","17"
"","Brad Fieger","Miami (FL)","Sr.","1B","23","17"
"","Zach Fish","Oklahoma St.","Jr.","OF","24","17"
"","Andrew Godbold","Southeastern La.","Jr.","OF","23","17"
"","Eric Gutierrez","Texas Tech","So.","INF","26","17"
"","David Hall","Troy","Jr.","OF","22","17"
"","Tim Hoehn","William & Mary","Fr.","INF","22","17"
"","Hunter Hope","Tulane","Fr.","INF","23","17"
"","Aaron Huesman","Dayton","So.","INF","21","17"
"","Cody Jones","Western Caro.","Sr.","OF","22","17"
"","Ryan Karl","Cornell","Jr.","OF","14","17"
"","Luke Maglich","South Fla.","So.","OF","23","17"
"","Taylor Matthews","Murray St.","So.","OF","21","17"
"","Mitchell McGeein","Eastern Mich.","So.","INF","17","17"
"","Cam McRae","Presbyterian","Jr.","C","25","17"
"","Sheldon Neuse","Oklahoma","Fr.","INF","25","17"
"","Jacob Page","Army","So.","OF","20","17"
"","Nick Rivera","FGCU","So.","INF","24","17"
"","Casey Roche","Pittsburgh","Sr.","P","22","17"
"","John Rubino","Eastern Mich.","Jr.","INF","19","17"
"","Ricky Santiago","Fla. Atlantic","Jr.","INF","24","17"
"","Chris Selden","Seton Hall","Sr.","OF","19","17"
"","Chase Simpson","Wichita St.","Jr.","INF","19","17"
"","Jordan Simpson","Furman","So.","SS","24","17"
"","Thomas Smith","Georgia Tech","Jr.","INF","22","17"
"","Bryan Soloman","Eastern Ky.","Sr.","INF","23","17"
"","Adam Sonabend","Eastern Mich.","Sr.","C","17","17"
"","Taylor Sparks","UC Irvine","Jr.","INF","23","17"
"","Dykota Spiess","Western Caro.","Sr.","INF","21","17"
"","Christin Stewart","Tennessee","So.","OF","23","17"
"","Morgan Stotts","UNLV","Jr.","INF","19","17"
"","Michael Strentz","La.-Lafayette","Jr.","C","23","17"
"","Tucker Tharp","Kansas","Sr.","OF","24","17"
"","Justin Thomas","Rider","Jr.","3B","20","17"
"","Nick Thompson","William & Mary","Jr.","INF","22","17"
"","Michael Timm","Wright St.","Jr.","INF","22","17"
"","Sam Travis","Indiana","Jr.","INF","21","17"
"","Jose Trevino","Oral Roberts","Jr.","INF","22","17"
"","Stephen Vranka","Pittsburgh","Sr.","OF","22","17"
"","Donnie Walton","Oklahoma St.","So.","INF","24","17"
"","Dylan Wolsonovich","Pittsburgh","So.","INF","22","17"
"","Vinny Zarrillo","Rutgers","Jr.","OF","20","17"
"","Brad Zebedis","Presbyterian","Sr.","1B","25","17"
"","Tim Zier","San Diego St.","Sr.","INF","23","17"
